,Climat,Location,Seuil,pvalue05,pvaluebest,AccuracyTrain,AccuracyTest,RecallTest,PrecisionTest,F1Test,AUC
0,,Canberra,0.16632802784442902,1.8251255516819742e-38,3.255688211262638e-29,0.7553426676492262,0.7511045655375552,0.7777777777777778,0.430327868852459,0.554089709762533,0.817749183006536
1,,Canberra,0.5,1.8251255516819742e-38,3.255688211262638e-29,0.8636698599852616,0.8615611192930781,0.31851851851851853,0.9555555555555556,0.4777777777777778,0.817749183006536
2,,Sydney,0.26380833983421326,2.9084775618918253e-36,7.414102791496628e-41,0.7852852852852853,0.782608695652174,0.8047337278106509,0.5483870967741935,0.6522781774580335,0.8669411373303867
3,,Sydney,0.5,2.9084775618918253e-36,7.414102791496628e-41,0.8318318318318318,0.8260869565217391,0.3609467455621302,0.8840579710144928,0.5126050420168067,0.8669411373303867
4,,Perth,0.2487754076719284,8.04551777469785e-46,3.5228982732340346e-51,0.8676585747846516,0.8528951486697965,0.7803030303030303,0.6130952380952381,0.6866666666666668,0.8986985236985237
5,,Perth,0.5,8.04551777469785e-46,3.5228982732340346e-51,0.8931088488645262,0.8716744913928013,0.38636363636363635,0.9807692307692307,0.5543478260869565,0.8986985236985237
6,,Adelaide,0.23937714099884033,9.507474094076983e-43,2.3134032877105367e-49,0.8497516556291391,0.8427152317880795,0.8346456692913385,0.5888888888888889,0.6905537459283387,0.900576107231879
7,,Adelaide,0.5,9.507474094076983e-43,2.3134032877105367e-49,0.8538907284768212,0.8692052980132451,0.4881889763779528,0.8157894736842105,0.6108374384236452,0.900576107231879
8,,Darwin,0.35305726528167725,4.4218614509022055e-43,2.902580241246832e-63,0.8695652173913043,0.865414710485133,0.8083832335329342,0.7142857142857143,0.7584269662921349,0.8993707500253729
9,,Darwin,0.5,4.4218614509022055e-43,2.902580241246832e-63,0.853897375636506,0.838810641627543,0.5149700598802395,0.7962962962962963,0.6254545454545455,0.8993707500253729
10,,Brisbane,0.2757357954978943,5.596237346958598e-38,1.3924070043690308e-33,0.8295409181636727,0.8086124401913876,0.703125,0.5232558139534884,0.6000000000000001,0.8638213927855712
11,,Brisbane,0.5,5.596237346958598e-38,1.3924070043690308e-33,0.8411177644710579,0.8628389154704944,0.3984375,0.85,0.5425531914893617,0.8638213927855712
12,,Hobart,0.24217738211154938,2.0517122529029606e-14,8.014969892355323e-26,0.7541241162608012,0.7331240188383046,0.7549668874172185,0.46153846153846156,0.5728643216080402,0.806809200664977
13,,Hobart,0.5,2.0517122529029606e-14,8.014969892355323e-26,0.8161822466614297,0.7943485086342229,0.16556291390728478,0.8333333333333334,0.27624309392265195,0.806809200664977
14,,Melbourne,0.19739584624767303,7.287380209869399e-15,5.45859453463411e-19,0.7230685527747551,0.691304347826087,0.8482142857142857,0.4318181818181818,0.572289156626506,0.8185293513957307
15,,Melbourne,0.5,7.287380209869399e-15,5.45859453463411e-19,0.8193688792165397,0.8021739130434783,0.23214285714285715,0.8387096774193549,0.36363636363636365,0.8185293513957307
16,,Wollongong,0.25582775473594666,2.792174765885941e-24,5.999756750995318e-34,0.8126593033135089,0.8030560271646859,0.7122302158273381,0.5657142857142857,0.6305732484076433,0.8396003197442046
